,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
462,Minimalist,2020.0,Jaipur,Customer Staples,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000.0,Series A,2021,Non-tech
463,Biconomy,2019.0,New Delhi,Financials,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000.0,Unstated,2021,Non-tech
464,Fixcraft,2018.0,Gurugram,Information Technology,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,1000000.0,Pre series,2021,Non-tech
465,Slice,2016.0,Bangalore,Financials,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000.0,Unstated,2021,Non-tech
466,90+ My Tuition App,2015.0,Bangalore,Information Technology,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000.0,Series A,2021,Tech
467,Wasabi,2021.0,Bangalore,Industrials,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",1800000.0,Seed,2021,Non-tech
468,Strata,2019.0,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000.0,Series A,2021,Non-tech
469,Ourbetterplanet,2020.0,Bangalore,Consumer Discretionary,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000.0,Seed,2021,Tech
470,Murf.ai,2020.0,Bangalore,Information Technology,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000.0,Seed,2021,Tech
471,JetSynthesys,2014.0,Pune,Communication Services,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Rajan navani,Sachin Tendulkar,2000000.0,Unstated,2021,Non-tech
472,MYFITNESS,2019.0,Silvassa,Consumer Discretionary,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000.0,Seed,2021,Non-tech
473,I am Love,2020.0,Mumbai,Health Care,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,Seed,2021,Non-tech
474,MyGlamm,2015.0,Mumbai,Consumer Discretionary,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000.0,Unstated,2021,Non-tech
475,Gumlet,2019.0,Bangalore,Information Technology,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,Unstated,2021,Tech
476,Eloelo,2015.0,Bangalore,Consumer Discretionary,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000.0,Pre series,2021,Non-tech
477,Edukemy,2020.0,Noida,Information Technology,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",2000000.0,Pre series,2021,Tech
478,Zingbus,2019.0,Gurugram,Industrials,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000.0,Pre series,2021,Non-tech
479,NewsReach,2018.0,Ahmedabad,Communication Services,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000.0,Seed,2021,Non-tech
480,Pencilton,2017.0,Hyderabad,Information Technology,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000.0,Pre seed,2021,Tech
481,Bandhoo,2020.0,Gurugram,Information Technology,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,Unstated,2021,Tech
482,ixigo,2007.0,Gurugram,Information Technology,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000.0,Unstated,2021,Tech
483,The Whole Truth,2019.0,Mumbai,Customer Staples,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000.0,Series A,2021,Non-tech
484,Insane AI,2021.0,Bangalore,Consumer Discretionary,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000.0,Seed,2021,Non-tech
486,Droom,2014.0,Gurugram,Information Technology,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Sandeep Aggarwal,,200000000.0,Unstated,2021,Non-tech
487,Skymet,2003.0,Noida,Utilities,Provide services that allow clients to understand and organize themselves around changing environment.,Yogesh Patil,"Northern Arc, Caspian Impact Investments",1000000.0,Unstated,2021,Non-tech
488,Go Swift,2019.0,Bangalore,Consumer Discretionary,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2000000.0,Pre series,2021,Non-tech
489,Mamaearth,2016.0,Gurugram,Health Care,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000.0,Unstated,2021,Non-tech
490,G.O.A.T,2021.0,Bangalore,Consumer Discretionary,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",36000000.0,Series A,2021,Non-tech
492,ReDesyn,2016.0,Mumbai,Materials,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,300000.0,Pre series,2021,Non-tech
493,Inspacco,2019.0,Pune,Utilities,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services","Sanket Nerkar, Paresh Kotkar",,200000.0,Unstated,2021,Non-tech
494,Knorish,2016.0,Gurugram,Information Technology,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000.0,Pre series,2021,Tech
495,Dozee,2015.0,Bangalore,Health Care,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,5000000.0,Series A,2021,Non-tech
496,BlackBuck,2015.0,Bangalore,Financials,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000.0,Later stage,2021,Non-tech
497,Mailmodo,2020.0,Bangalore,Information Technology,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",2000000.0,Seed,2021,Non-tech
499,NirogStreet,2018.0,New Delhi,Health Care,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000.0,Series A,2021,Non-tech
502,Even,2020.0,Bangalore,Health Care,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000.0,Seed,2021,Non-tech
503,Captain Fresh,2019.0,Bangalore,Industrials,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India",12000000.0,Series A,2021,Non-tech
504,Otipy,2020.0,Gurugram,Customer Staples,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000.0,Series A,2021,Non-tech
505,Lenskart,2008.0,Faridabad,Materials,India's fastest growing eyewear company and largest eyewear company online.,Peyush Bansal,"Temasek, Falcon Edge",220000000.0,Unstated,2021,Non-tech
506,Eka.care,2020.0,Bangalore,Health Care,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Unstated,2021,Non-tech
507,Braingroom,2015.0,Chennai,Information Technology,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000.0,Unstated,2021,Tech
508,Edvizo,2017.0,Bangalore,Consumer Discretionary,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,1000000.0,Pre series,2021,Non-tech
509,Credenc,2017.0,New Delhi,Information Technology,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000.0,Unstated,2021,Tech
510,GlobalBees,2021.0,New Delhi,Consumer Discretionary,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",150000000.0,Series A,2021,Non-tech
511,Spinny,2015.0,Gurugram,Information Technology,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000.0,Later stage,2021,Non-tech
512,Mynvax,2017.0,Bangalore,Information Technology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",4000000.0,Series A,2021,Non-tech
513,RiseBird,2018.0,Pune,Information Technology,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,Ashutosh Seth,SAB Holdings,500000.0,Unstated,2021,Non-tech
514,Uvi Health,2020.0,Bangalore,Health Care,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,330000.0,Pre seed,2021,Non-tech
515,Vegrow,2020.0,Bangalore,Customer Staples,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",13000000.0,Unstated,2021,Non-tech
516,Automovill,2015.0,Bangalore,Information Technology,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000.0,Unstated,2021,Non-tech
518,HealthifyMe,2012.0,Bangalore,Health Care,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",75000000.0,Series C,2021,Non-tech
519,GalaxyCard,2017.0,Gurugram,Information Technology,GalaxyCard is a mobile based Instant Credit Card.,Amit Kumar,JITO Angel Network,450000.0,Unstated,2021,Tech
520,Bella Vita Organic,2018.0,Gurugram,Health Care,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,Ananta Capital,10000000.0,Unstated,2021,Non-tech
521,SmartCoin,2016.0,Bangalore,Information Technology,India's Most Preferred Instant Loan App,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",10000000.0,Unstated,2021,Tech
523,MYSUN,2016.0,New Delhi,Energy,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",Gagan Vermani,TATA Cleantech Capital,2000000.0,Unstated,2021,Non-tech
524,Sea6 Energy,2010.0,Bangalore,Information Technology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,9000000.0,Series B,2021,Non-tech
525,Beco,2018.0,Mumbai,Consumer Discretionary,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000.0,Seed,2021,Non-tech
526,OneCode,2020.0,Bangalore,Information Technology,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",5000000.0,Unstated,2021,Non-tech
527,MedPay,2020.0,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000.0,Seed,2021,Tech
528,Inshorts,2013.0,Noida,Information Technology,Built Inshorts with a promise to deliver news,Azhar Iqubal,Vy Capital,60000000.0,Unstated,2021,Non-tech
529,Digantara,2018.0,Bangalore,Information Technology,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000.0,Seed,2021,Non-tech
530,Aqgromalin,2018.0,Chennai,Information Technology,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000.0,Seed,2021,Tech
